CONCEPT,kara1474,kara_cv,kara_rlm,botl1242,botl_cv,botl_rlm,akhv1239,akhv_cv,akhv_rlm,ghod1238,ghod_cv,ghod_rlm,andi1255,andi_cv,andi_rlm,cham1309,cham_cv,cham_rlm,tind1238,tind_cv,tind_rlm,bagv1239,bagv_cv,bagv_rlm,bor
(в соч. с инф. выражает обязательность действия глагола)_7.0,bekːʷ'aɬa,CVCVCV,bVCVCV,,,,,,,,,,,,,,,,,,,,,,
(возглас (петухом)_11.0,,,,,,,,,,,,,ɢuɢudu,CVCVCV,CVCVCV,,,,,,,,,,
(возглас вызова)_20.0,,,,,,,,,,,,,mp'o,CCV,mCV,,,,,,,,,,
(возглас недовольствия и недоумения)_29.0,,,,,,,,,,,,,wep'ero,CVCVCV,wVCVrV,,,,,,,,,,
(возглас одобрения)_38.0,,,,,,,,,,,,,hajhuj,CVCCVC,CVjCVj,,,,,,,,,,
(возглас петуха)_47.0,,,,,,,,,,,,,ɢuɢudi,CVCVCV,CVCVCV,,,,,,,,,,
(возглас поцелуя)_56.0,,,,,,,,,,,,,wp'o,CCV,wCV,,,,,,,,,,
(возглас удивления)_67.0,,,,wãh'i,CVCV,wVCV,,,,,,,,,,,,,,,,,,,
(возглас)_74.0,ʕaj,CVC,CVj,,,,,,,,,,wej,CVC,wVj,,,,,,,,,,
"(возглас, который погоняют осла)_88.0",q'oʃː,CVC,CVC,,,,,,,,,,,,,,,,,,,,,,
"(возглас, который прогоняют петуха)_97.0",q'ut'aj,CVCVC,CVCVj,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым во время пахоты направляют быков прямо по борозде)_107.0",,,,,,,,,,,,,,,,,,,aːqʷ'e,VCV,VCV,,,,
"(возглас, которым гонят быков)_110.0",,,,,,,,,,,,,ha,CV,CV,,,,,,,,,,
"(возглас, которым гонят лошадей)_119.0",,,,,,,,,,,,,hij,CVC,CVj,,,,,,,,,,
"(возглас, которым гонят телят)_128.0",,,,,,,,,,,,,erɡi,VCCV,VrCV,,,,,,,,,,
"(возглас, которым кличут быка)_137.0",,,,,,,,,,,,,huʃe,CVCV,CVCV,,,,,,,,,,
"(возглас, которым кличут и гонят коров)_146.0",,,,,,,,,,,,,hizze,CVCCV,CVCCV,,,,,,,,,,
"(возглас, которым кличут и гонят скот)_155.0",,,,,,,,,,,,,hojtsi,CVCCV,CVjCV,,,,,,,,,,
"(возглас, которым натравливают собак)_168.0",,,,,,,,,,ʒe,CV,CV,,,,,,,,,,,,,
"(возглас, которым натравливают собаку)_178.0",suʔsuʔ,CVCCVC,CVCCVC,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым науськивают собак)_184.0",,,,skoj,CCVC,CCVj,,,,,,,,,,,,,,,,,,,
"(возглас, которым науськивают собаку)_190.0",,,,,,,hush'us,CVCCVC,CVCCVC,,,,,,,,,,,,,,,,
"(возглас, которым науськивают собаку)_192.0",,,,,,,,,,,,,,,,susu,CVCV,CVCV,,,,sːu,CV,CV,
"(возглас, которым останавливают быков)_200.0",,,,,,,,,,hoːh'a,CVCV,CVCV,woha,CVCV,wVCV,,,,,,,,,,
"(возглас, которым останавливают козлов)_213.0",,,,,,,,,,oːjeha,VCVCV,VjVCV,,,,,,,,,,,,,
"(возглас, которым останавливают коня)_222.0",,,,,,,,,,drrdrrr,CCCCCCC,CrrCrrr,,,,,,,,,,,,,
"(возглас, которым останавливают крупный рогатый скот)_228.0",,,,,,,,,,,,,,,,,,,,,,miːl'o,CVCV,mVlV,
"(возглас, которым останавливают лошадь)_242.0",,,,,,,,,,,,,,,,,,,dbu,CCV,CbV,,,,
"(возглас, которым останавливают осла)_246.0",q'oːʃːikj'a,CVCVCCV,CVCVCjV,q'oʃː,CVC,CVC,q'ː'oʃːo,CVCV,CVCV,q'oːʃːu,CVCV,CVCV,,,,q'oːʃː,CVC,CVC,q'oːʃ,CVC,CVC,q'oːʃ,CVC,CVC,
"(возглас, которым отводят молодняк от маток – овец)_260.0",,,,,,,,,,,,,,,,,,,r'ebat'ah,CVCVCVC,rVbVCVC,,,,
"(возглас, которым отгоняют баранов)_267.0",,,,,,,,,,kujs,CVCC,CVjC,,,,,,,,,,,,,
"(возглас, которым отгоняют для овец)_276.0",,,,,,,,,,tsːit,CVC,CVC,,,,,,,,,,,,,
"(возглас, которым отгоняют или подгоняют коз)_282.0",,,,,,,,,,,,,,,,wetsʕ'aj,CVCCVC,wVCCVj,,,,wetsʕ'aj,CVCCVC,wVCCVj,
"(возглас, которым отгоняют коз)_292.0",,,,tsːit,CVC,CVC,,,,ts'iti,CVCV,CVCV,,,,,,,,,,,,,
"(возглас, которым отгоняют коз)_296.0",,,,,,,,,,,,,,,,,,,wetsʕ'aː,CVCCV,wVCCV,,,,
"(возглас, которым отгоняют козу)_301.0",,,,ɡuts,CVC,CVC,,,,,,,,,,,,,,,,,,,
"(возглас, которым отгоняют коров)_311.0",,,,,,,,,,tʃ'int'u,CCVCCV,CCVnCV,,,,dʒʕoːjts,CCCVCC,CCCVjC,,,,,,,
"(возглас, которым отгоняют кошек)_319.0",,,,tʃːit'a,CCVCV,CCVCV,,,,,,,,,,,,,,,,,,,
"(возглас, которым отгоняют кур)_325.0",ɡur'aj,CVCVC,CVrVj,kuʃ,CVC,CVC,ɡ'ure,CVCV,CVrV,ɡureɡ'ure,CVCVCVCV,CVrVCVrV,,,,,,,kur'aː,CVCV,CVrV,kurʕ'aj,CVCCVC,CVrCVj,
"(возглас, которым отгоняют овец)_337.0",ʕ'eʃaj,CVCVC,CVCVj,tsːit'a,CVCV,CVCV,,,,ʕats,CVC,CVC,,,,tsiraj,CVCVC,CVrVj,,,,,,,
"(возглас, которым отгоняют овец)_341.0",,,,,,,,,,,,,,,,,,,k'eri,CVCV,CVrV,,,,
"(возглас, которым отгоняют осла)_348.0",,,,,,,,,,q''oʃːu,CVCV,CVCV,,,,,,,,,,,,,
"(возглас, которым отгоняют собак)_354.0",,,,,,,,,,,,,,,,,,,,,,dʒ'ebeɬi,CCVCVCV,CCVbVCV,
"(возглас, которым отгоняют теленка)_364.0",,,,huts,CVC,CVC,,,,ʕ'arija,CVCVCV,CVrVjV,,,,,,,,,,,,,
"(возглас, которым отгоняют телят)_376.0",ʕel'aj,CVCVC,CVlVj,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым отгоняют, подгоняют коров)_382.0",,,,ʕaj,CVC,CVj,,,,,,,,,,,,,,,,,,,
"(возглас, которым отгоняют, понукают коров)_391.0",,,,hiz'o,CVCV,CVCV,,,,,,,,,,,,,,,,,,,
"(возглас, которым отоняют овец)_399.0",,,,,,,,,,,,,,,,,,,,,,tsit,CVC,CVC,
"(возглас, которым поворачивают быков кверху)_413.0",,,,,,,,,,,,,,,,,,,ɬal'a,CVCV,CVlV,,,,
"(возглас, которым погоняют быка во время обмолота)_417.0",,,,,,,,,,,,,,,,,,,,,,ʕ'ajhandaːr,CVCCVCCVC,CVjCVnCVr,
"(возглас, которым погоняют быков во время пахоты)_426.0",,,,,,,,,,,,,,,,,,,,,,ʕajtɬ''eː,CVCCCV,CVjCCV,
"(возглас, которым погоняют быков)_435.0",,,,,,,,,,,,,,,,,,,,,,ʕajts''eː,CVCCV,CVjCV,
"(возглас, которым погоняют волов)_442.0",oha,VCV,VCV,,,,w'oːha,CVCV,wVCV,,,,,,,,,,,,,,,,
"(возглас, которым погоняют или прогоняют телят)_454.0",,,,hujtsh'ujts,CVCCCVCC,CVjCCVjC,,,,,,,,,,,,,,,,,,,
"(возглас, которым погоняют коров)_460.0",,,,,,,hoː,CV,CV,,,,,,,,,,,,,,,,
"(возглас, которым погоняют коров)_466.0",jesː'i,CVCV,jVCV,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым погоняют корову)_474.0",,,,,,,,,,haj,CVC,CVj,,,,,,,,,,,,,
"(возглас, которым погоняют крупный рогатый скот)_480.0",,,,haj,CVC,CVj,,,,ʕaj,CVC,CVj,,,,ʕaj,CVC,CVj,,,,ʕaj,CVC,CVj,
"(возглас, которым погоняют крупный рогатый скот)_485.0",,,,,,,,,,,,,,,,,,,t'eːtʃʷ,CVCC,CVCC,,,,
"(возглас, которым погоняют лошадь)_488.0",,,,,,,,,,,,,mp'wo,CCCV,mCwV,,,,,,,,,,
"(возглас, которым погоняют лошадь)_491.0",,,,,,,,,,huj,CVC,CVj,,,,h'udja,CVCCV,CVCjV,hihu,CVCV,CVCV,,,,
"(возглас, которым погоняют овец)_496.0",,,,,,,ɡ'iʃe,CVCV,CVCV,,,,,,,,,,,,,,,,
"(возглас, которым погоняют осла)_509.0",,,,,,,,,,ħːĩ,CV,CV,,,,ħãj,CVC,CVj,,,,,,,
"(возглас, которым погоняют осла)_512.0",,,,,,,,,,,,,,,,,,,q'oʃ,CVC,CVC,,,,
"(возглас, которым погоняют теленка)_516.0",,,,,,,,,,,,,,,,,,,,,,ʕan'aː,CVCV,CVnV,
"(возглас, которым погоняют телят)_528.0",,,,,,,,,,h'ojtsi,CVCCV,CVjCV,,,,,,,,,,,,,
"(возглас, которым погоняют, прогоняют теленка)_539.0",,,,,,,,,,,,,,,,,,,k'utʃi,CVCCV,CVCCV,,,,
"(возглас, которым погоняют, торопят или прогоняют телят)_545.0",,,,,,,,,,,,,,,,ʕ'arija,CVCVCV,CVrVjV,,,,,,,
"(возглас, которым подгоняют корову)_557.0",,,,,,,,,,,,,,,,,,,ʕa,CV,CV,,,,
"(возглас, которым подгоняют, понукают осла)_565.0",ħãj,CVC,CVj,,,,,,,,,,,,,,,,,,,,,,
"(возглас, которым подзывают барана)_573.0",,,,,,,,,,k'ujsikujsi,CVCCVCVCCV,CVjCVCVjCV,,,,,,,,,,,,,
"(возглас, которым подзывают быка)_580.0",,,,unsuku'unsuku,VCCVCVVCCVCV,VnCVCVVnCVCV,,,,unsikʲa'unsikʲa,VCCVCVVCCVCV,VnCVCVVnCVCV,,,,,,,,,,,,,
"(возглас, которым подзывают гусей)_590.0",,,,,,,,,,,,,,,,dʒ'imadʒ'ima,CCVCVCCVCV,CCVmVCCVmV,,,,,,,
"(возглас, которым подзывают или останавливают корову)_602.0",,,,,,,,,,,,,,,,,,,t'ãjtʃʷt'ãjtʃʷ,CVCCCCVCCC,CVjCCCVjCC,,,,
"(возглас, которым подзывают или успокаивают крупный рогатый скот)_608.0",,,,,,,,,,,,,,,,tʃiːtʃʷtʃiːtʃʷ,CCVCCCCVCC,CCVCCCCVCC,,,,,,,
"(возглас, которым подзывают коз и козлят)_615.0",,,,,,,,,,,,,,,,,,,,,,ɡitsɡ'its,CVCCVC,CVCCVC,
"(возглас, которым подзывают коз)_624.0",,,,,,,,,,,,,,,,,,,,,,weh'aʔ,CVCVC,wVCVC,
